transaction_id,customer_id,product_id,quantity,price,timestamp,payment_method
4292,130,89,1,112.87,2024-08-17 09:13:00,Credit Card
9107,271,98,1,211.9,2023-11-17 20:50:00,PayPal
7842,66,33,1,225.04,2023-03-21 23:23:00,Bank Transfer
3485,432,73,1,72.2,2024-11-18 17:04:00,Cash
8929,248,11,1,315.22,2024-09-14 19:19:00,Cash
5291,1861,1,1,256.29,2024-09-13 20:32:00,Bank Transfer
2831,973,26,2,36.77,2023-11-03 23:49:00,PayPal
5321,208,36,1,174.84,2023-05-01 23:14:00,Bank Transfer
7475,27,130,1,179.73,2023-11-10 06:28:00,Credit Card
2872,258,78,3,137.61,2023-11-26 14:55:00,Credit Card
130,1946,24,10,100.87,2023-04-05 16:24:00,PayPal
1803,559,65,1,11.39,2024-01-21 01:07:00,PayPal
5103,551,74,10,31.17,2023-07-14 23:06:00,Cash
8689,203,112,3,215.12,2024-11-16 06:59:00,PayPal
6326,899,87,1,315.91,2024-12-15 03:23:00,PayPal
3098,1059,6,1,174.27,2023-01-30 22:21:00,Bank Transfer
5055,661,129,1,220.94,2024-08-07 06:54:00,Cash
1931,104,104,1,185.96,2023-10-27 15:29:00,Debit Card
9011,257,112,1,111.91,2024-11-06 13:07:00,Bank Transfer
7481,27,116,2,415.2,2024-03-27 11:37:00,Credit Card
3781,70,72,2,89.38,2024-03-14 18:53:00,Cash
877,1249,109,1,25.32,2024-04-12 02:56:00,Cash
7393,19,43,2,19.24,2024-04-29 01:19:00,Credit Card
4490,590,6,10,163.76,2023-01-08 14:09:00,PayPal
8617,198,19,2,328.47,2023-03-26 09:36:00,Credit Card
2815,1357,41,3,32.83,2023-10-21 11:09:00,Debit Card
1967,786,61,3,47.67,2024-05-15 06:56:00,Debit Card
358,1232,58,1,461.66,2023-04-17 02:42:00,Credit Card
9463,337,84,2,306.02,2023-12-10 16:48:00,Credit Card
3071,1732,103,2,269.15,2024-06-19 19:57:00,Debit Card
9051,259,99,1,439.24,2024-10-21 02:12:00,Bank Transfer
7543,28,119,1,105.61,2024-12-20 08:00:00,Debit Card
7304,3,101,1,,2024-11-08 05:43:00,Debit Card
124,1621,60,1,280.13,2024-07-16 15:34:00,Bank Transfer
8281,129,147,2,204.5,2023-01-29 10:46:00,Credit Card
1430,65,83,3,345.48,2023-04-04 05:51:00,Credit Card
4626,1759,25,1,130.28,2023-05-19 21:12:00,Debit Card
5643,417,49,1,421.02,2024-02-06 01:33:00,Credit Card
9787,399,130,3,158.21,2024-07-20 01:35:00,Credit Card
7359,11,122,1,372.88,2024-08-16 00:56:00,Debit Card
8025,99,33,1,164.91,2023-04-09 05:56:00,Cash
3403,1744,101,3,393.58,2023-01-17 23:56:00,Bank Transfer
479,1896,67,3,239.56,2023-06-23 05:06:00,PayPal
651,600,25,3,181.61,2023-06-17 11:42:00,Credit Card
4465,873,147,3,221.37,2023-04-11 08:35:00,Cash
7590,37,137,1,179.16,2023-03-02 12:48:00,Bank Transfer
6141,1730,21,3,136.15,2023-07-12 16:20:00,Debit Card
5858,880,52,1,50.56,2024-06-21 00:43:00,Cash
8327,129,55,1,130.07,2024-12-03 04:05:00,Credit Card
6337,171,60,1,381.01,2024-01-29 00:04:00,Debit Card
7673,44,60,1,458.36,2023-02-27 20:39:00,PayPal
